,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
16721,Not at all satisfied,Spend more,ndp,Quebec,Bachelor's degree,47,Green Party
16722,Fairly satisfied,Spend more,Liberal,Ontario,Professional degree or doctorate,58,Green Party
16723,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Some secondary/ high school,56,Conservative Party
16724,Not very satisfied,Spend more,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",21,Conservative Party
16725,Not at all satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,61,ndp
16726,Fairly satisfied,Spend more,Liberal,Manitoba,Some university,59,Liberal Party
16727,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,22,Green Party
16728,Fairly satisfied,Spend more,Liberal,British Columbia,"Completed technical, community college, CEGEP, College Classique",52,Liberal Party
16729,Not at all satisfied,Spend less,Don't know/ Prefer not to answer,British Columbia,"Completed technical, community college, CEGEP, College Classique",68,Conservative Party
16730,Fairly satisfied,Spend more,ndp,British Columbia,Master's degree,63,Green Party
16731,Not very satisfied,Spend more,ndp,Alberta,Some university,25,ndp
16732,Not at all satisfied,Spend about the same as now,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",69,Conservative Party
16733,Not very satisfied,Spend about the same as now,ndp,Newfoundland and Labrador,Completed secondary/ high school,19,
16734,Fairly satisfied,Spend more,ndp,British Columbia,Master's degree,71,ndp
16735,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Completed secondary/ high school,64,
16736,Not very satisfied,Spend more,ndp,British Columbia,Master's degree,71,ndp
16737,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,58,
16738,Not at all satisfied,Don't know/ Prefer not to answer,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",54,
16739,Not at all satisfied,Spend about the same as now,None of these,Alberta,"Completed technical, community college, CEGEP, College Classique",40,Don't know/ Prefer not to answer
16740,Fairly satisfied,Spend more,Conservative,Ontario,Some secondary/ high school,88,
16741,Very satisfied,Spend more,Conservative,Alberta,Professional degree or doctorate,71,
16742,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,41,Conservative Party
16743,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Quebec,Completed secondary/ high school,54,Don't know/ Prefer not to answer
16744,Not at all satisfied,Spend about the same as now,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",30,ndp
16745,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,47,Liberal Party
16746,Not very satisfied,Spend more,ndp,Ontario,"Some technical, community college, CEGEP, College Classique",43,ndp
16747,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Professional degree or doctorate,73,Conservative Party
16748,Not at all satisfied,Spend less,Conservative,Ontario,Bachelor's degree,64,Conservative Party
16749,Not at all satisfied,Spend less,Conservative,Alberta,Completed secondary/ high school,30,Conservative Party
16750,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Completed elementary school,44,Green Party
16751,Fairly satisfied,Spend about the same as now,Green,Ontario,Completed secondary/ high school,22,
